row_id,timestamp,source_ip,destination_ip,event_type,username,protocol,bytes,status,device,severity,message
N037,2026-09-01 13:12:48,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,865,SUCCESS,Office-Laptop-07,INFO,Normal login
N038,2026-09-01 14:19:01,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1620,SUCCESS,Office-Laptop-08,INFO,Normal network request
N039,2026-09-01 15:26:14,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1455,SUCCESS,Office-Laptop-09,INFO,Normal file access
N040,2026-09-01 16:33:27,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,970,SUCCESS,Office-Laptop-10,INFO,Normal login
N041,2026-09-01 09:40:40,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1725,SUCCESS,Office-Laptop-01,INFO,Normal network request
N042,2026-09-01 10:47:53,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1560,SUCCESS,Office-Laptop-02,INFO,Normal file access
N043,2026-09-01 11:54:06,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,1075,SUCCESS,Office-Laptop-03,INFO,Normal login
N044,2026-09-01 12:01:19,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,1830,SUCCESS,Office-Laptop-04,INFO,Normal network request
N045,2026-09-01 13:08:32,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1665,SUCCESS,Office-Laptop-05,INFO,Normal file access
N046,2026-09-01 14:15:45,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,1180,SUCCESS,Office-Laptop-06,INFO,Normal login
N047,2026-09-01 15:22:58,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1935,SUCCESS,Office-Laptop-07,INFO,Normal network request
N048,2026-09-01 16:29:11,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1770,SUCCESS,Office-Laptop-08,INFO,Normal file access
N049,2026-09-01 09:36:24,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,1285,SUCCESS,Office-Laptop-09,INFO,Normal login
N050,2026-09-01 10:43:37,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,2040,SUCCESS,Office-Laptop-10,INFO,Normal network request
N051,2026-09-01 11:50:50,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1000,SUCCESS,Office-Laptop-01,INFO,Normal file access
N052,2026-09-01 12:57:03,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,515,SUCCESS,Office-Laptop-02,INFO,Normal login
N053,2026-09-01 13:04:16,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1270,SUCCESS,Office-Laptop-03,INFO,Normal network request
N054,2026-09-01 14:11:29,192.168.1.24,10.0.0.15,FILE_ACCESS,employee04,HTTPS,1105,SUCCESS,Office-Laptop-04,INFO,Normal file access
N055,2026-09-01 15:18:42,192.168.1.25,10.0.0.10,LOGIN,employee05,HTTPS,620,SUCCESS,Office-Laptop-05,INFO,Normal login
N056,2026-09-01 16:25:55,192.168.1.26,10.0.0.20,NETWORK_REQUEST,employee06,TCP,1375,SUCCESS,Office-Laptop-06,INFO,Normal network request
N057,2026-09-01 09:32:08,192.168.1.27,10.0.0.15,FILE_ACCESS,employee07,HTTPS,1210,SUCCESS,Office-Laptop-07,INFO,Normal file access
N058,2026-09-01 10:39:21,192.168.1.28,10.0.0.10,LOGIN,employee08,HTTPS,725,SUCCESS,Office-Laptop-08,INFO,Normal login
N059,2026-09-01 11:46:34,192.168.1.29,10.0.0.20,NETWORK_REQUEST,employee09,TCP,1480,SUCCESS,Office-Laptop-09,INFO,Normal network request
N060,2026-09-01 12:53:47,192.168.1.30,10.0.0.15,FILE_ACCESS,employee10,HTTPS,1315,SUCCESS,Office-Laptop-10,INFO,Normal file access
N061,2026-09-01 13:00:00,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,830,SUCCESS,Office-Laptop-01,INFO,Normal login
N062,2026-09-01 14:07:13,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1585,SUCCESS,Office-Laptop-02,INFO,Normal network request
N063,2026-09-01 15:14:26,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1420,SUCCESS,Office-Laptop-03,INFO,Normal file access
N064,2026-09-01 16:21:39,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,935,SUCCESS,Office-Laptop-04,INFO,Normal login
N065,2026-09-01 09:28:52,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,1690,SUCCESS,Office-Laptop-05,INFO,Normal network request
N066,2026-09-01 10:35:05,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1525,SUCCESS,Office-Laptop-06,INFO,Normal file access
N067,2026-09-01 11:42:18,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,1040,SUCCESS,Office-Laptop-07,INFO,Normal login
N068,2026-09-01 12:49:31,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1795,SUCCESS,Office-Laptop-08,INFO,Normal network request
N069,2026-09-01 13:56:44,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1630,SUCCESS,Office-Laptop-09,INFO,Normal file access
N070,2026-09-01 14:03:57,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,1145,SUCCESS,Office-Laptop-10,INFO,Normal login
N071,2026-09-01 15:10:10,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1900,SUCCESS,Office-Laptop-01,INFO,Normal network request
N072,2026-09-01 16:17:23,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1735,SUCCESS,Office-Laptop-02,INFO,Normal file access
N073,2026-09-01 09:24:36,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,1250,SUCCESS,Office-Laptop-03,INFO,Normal login
N074,2026-09-01 10:31:49,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,2005,SUCCESS,Office-Laptop-04,INFO,Normal network request
N075,2026-09-01 11:38:02,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1840,SUCCESS,Office-Laptop-05,INFO,Normal file access
N076,2026-09-01 12:45:15,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,480,SUCCESS,Office-Laptop-06,INFO,Normal login
N077,2026-09-01 13:52:28,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1235,SUCCESS,Office-Laptop-07,INFO,Normal network request
N078,2026-09-01 14:59:41,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1070,SUCCESS,Office-Laptop-08,INFO,Normal file access
N079,2026-09-01 15:06:54,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,585,SUCCESS,Office-Laptop-09,INFO,Normal login
N080,2026-09-01 16:13:07,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,1340,SUCCESS,Office-Laptop-10,INFO,Normal network request
N081,2026-09-01 09:20:20,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1175,SUCCESS,Office-Laptop-01,INFO,Normal file access
N082,2026-09-01 10:27:33,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,690,SUCCESS,Office-Laptop-02,INFO,Normal login
N083,2026-09-01 11:34:46,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1445,SUCCESS,Office-Laptop-03,INFO,Normal network request
N084,2026-09-01 12:41:59,192.168.1.24,10.0.0.15,FILE_ACCESS,employee04,HTTPS,1280,SUCCESS,Office-Laptop-04,INFO,Normal file access
N085,2026-09-01 13:48:12,192.168.1.25,10.0.0.10,LOGIN,employee05,HTTPS,795,SUCCESS,Office-Laptop-05,INFO,Normal login
N086,2026-09-01 14:55:25,192.168.1.26,10.0.0.20,NETWORK_REQUEST,employee06,TCP,1550,SUCCESS,Office-Laptop-06,INFO,Normal network request
N087,2026-09-01 15:02:38,192.168.1.27,10.0.0.15,FILE_ACCESS,employee07,HTTPS,1385,SUCCESS,Office-Laptop-07,INFO,Normal file access
N088,2026-09-01 16:09:51,192.168.1.28,10.0.0.10,LOGIN,employee08,HTTPS,900,SUCCESS,Office-Laptop-08,INFO,Normal login
N089,2026-09-01 09:16:04,192.168.1.29,10.0.0.20,NETWORK_REQUEST,employee09,TCP,1655,SUCCESS,Office-Laptop-09,INFO,Normal network request
N090,2026-09-01 10:23:17,192.168.1.30,10.0.0.15,FILE_ACCESS,employee10,HTTPS,1490,SUCCESS,Office-Laptop-10,INFO,Normal file access
N091,2026-09-01 11:30:30,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,1005,SUCCESS,Office-Laptop-01,INFO,Normal login
N092,2026-09-01 12:37:43,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1760,SUCCESS,Office-Laptop-02,INFO,Normal network request
N093,2026-09-01 13:44:56,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1595,SUCCESS,Office-Laptop-03,INFO,Normal file access
N094,2026-09-01 14:51:09,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,1110,SUCCESS,Office-Laptop-04,INFO,Normal login
N095,2026-09-01 15:58:22,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,1865,SUCCESS,Office-Laptop-05,INFO,Normal network request
N096,2026-09-01 16:05:35,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1700,SUCCESS,Office-Laptop-06,INFO,Normal file access
N097,2026-09-01 09:12:48,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,1215,SUCCESS,Office-Laptop-07,INFO,Normal login
N098,2026-09-01 10:19:01,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1970,SUCCESS,Office-Laptop-08,INFO,Normal network request
N099,2026-09-01 11:26:14,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1805,SUCCESS,Office-Laptop-09,INFO,Normal file access
N100,2026-09-01 12:33:27,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,1320,SUCCESS,Office-Laptop-10,INFO,Normal login
N101,2026-09-01 13:40:40,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1200,SUCCESS,Office-Laptop-01,INFO,Normal network request
N102,2026-09-01 14:47:53,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1035,SUCCESS,Office-Laptop-02,INFO,Normal file access
N103,2026-09-01 15:54:06,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,550,SUCCESS,Office-Laptop-03,INFO,Normal login
N104,2026-09-01 16:01:19,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,1305,SUCCESS,Office-Laptop-04,INFO,Normal network request
N105,2026-09-01 09:08:32,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1140,SUCCESS,Office-Laptop-05,INFO,Normal file access
N106,2026-09-01 10:15:45,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,655,SUCCESS,Office-Laptop-06,INFO,Normal login
N107,2026-09-01 11:22:58,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1410,SUCCESS,Office-Laptop-07,INFO,Normal network request
N108,2026-09-01 12:29:11,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1245,SUCCESS,Office-Laptop-08,INFO,Normal file access
N109,2026-09-01 13:36:24,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,760,SUCCESS,Office-Laptop-09,INFO,Normal login
N110,2026-09-01 14:43:37,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,1515,SUCCESS,Office-Laptop-10,INFO,Normal network request
N111,2026-09-01 15:50:50,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1350,SUCCESS,Office-Laptop-01,INFO,Normal file access
N112,2026-09-01 16:57:03,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,865,SUCCESS,Office-Laptop-02,INFO,Normal login
N113,2026-09-01 09:04:16,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1620,SUCCESS,Office-Laptop-03,INFO,Normal network request
N114,2026-09-01 10:11:29,192.168.1.24,10.0.0.15,FILE_ACCESS,employee04,HTTPS,1455,SUCCESS,Office-Laptop-04,INFO,Normal file access
N115,2026-09-01 11:18:42,192.168.1.25,10.0.0.10,LOGIN,employee05,HTTPS,970,SUCCESS,Office-Laptop-05,INFO,Normal login
N116,2026-09-01 12:25:55,192.168.1.26,10.0.0.20,NETWORK_REQUEST,employee06,TCP,1725,SUCCESS,Office-Laptop-06,INFO,Normal network request
N117,2026-09-01 13:32:08,192.168.1.27,10.0.0.15,FILE_ACCESS,employee07,HTTPS,1560,SUCCESS,Office-Laptop-07,INFO,Normal file access
N118,2026-09-01 14:39:21,192.168.1.28,10.0.0.10,LOGIN,employee08,HTTPS,1075,SUCCESS,Office-Laptop-08,INFO,Normal login
N119,2026-09-01 15:46:34,192.168.1.29,10.0.0.20,NETWORK_REQUEST,employee09,TCP,1830,SUCCESS,Office-Laptop-09,INFO,Normal network request
N120,2026-09-01 16:53:47,192.168.1.30,10.0.0.15,FILE_ACCESS,employee10,HTTPS,1665,SUCCESS,Office-Laptop-10,INFO,Normal file access
N121,2026-09-01 09:00:00,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,1180,SUCCESS,Office-Laptop-01,INFO,Normal login
N122,2026-09-01 10:07:13,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1935,SUCCESS,Office-Laptop-02,INFO,Normal network request
N123,2026-09-01 11:14:26,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1770,SUCCESS,Office-Laptop-03,INFO,Normal file access
N124,2026-09-01 12:21:39,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,1285,SUCCESS,Office-Laptop-04,INFO,Normal login
N125,2026-09-01 13:28:52,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,2040,SUCCESS,Office-Laptop-05,INFO,Normal network request
N126,2026-09-01 14:35:05,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1000,SUCCESS,Office-Laptop-06,INFO,Normal file access
N127,2026-09-01 15:42:18,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,515,SUCCESS,Office-Laptop-07,INFO,Normal login
N128,2026-09-01 16:49:31,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1270,SUCCESS,Office-Laptop-08,INFO,Normal network request
N129,2026-09-01 09:56:44,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1105,SUCCESS,Office-Laptop-09,INFO,Normal file access
N130,2026-09-01 10:03:57,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,620,SUCCESS,Office-Laptop-10,INFO,Normal login
N131,2026-09-01 11:10:10,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1375,SUCCESS,Office-Laptop-01,INFO,Normal network request
N132,2026-09-01 12:17:23,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1210,SUCCESS,Office-Laptop-02,INFO,Normal file access
N133,2026-09-01 13:24:36,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,725,SUCCESS,Office-Laptop-03,INFO,Normal login
N134,2026-09-01 14:31:49,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,1480,SUCCESS,Office-Laptop-04,INFO,Normal network request
N135,2026-09-01 15:38:02,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1315,SUCCESS,Office-Laptop-05,INFO,Normal file access
N136,2026-09-01 16:45:15,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,830,SUCCESS,Office-Laptop-06,INFO,Normal login
N137,2026-09-01 09:52:28,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1585,SUCCESS,Office-Laptop-07,INFO,Normal network request
N138,2026-09-01 10:59:41,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1420,SUCCESS,Office-Laptop-08,INFO,Normal file access
N139,2026-09-01 11:06:54,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,935,SUCCESS,Office-Laptop-09,INFO,Normal login
N140,2026-09-01 12:13:07,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,1690,SUCCESS,Office-Laptop-10,INFO,Normal network request
N141,2026-09-01 13:20:20,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1525,SUCCESS,Office-Laptop-01,INFO,Normal file access
N142,2026-09-01 14:27:33,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,1040,SUCCESS,Office-Laptop-02,INFO,Normal login
N143,2026-09-01 15:34:46,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1795,SUCCESS,Office-Laptop-03,INFO,Normal network request
N144,2026-09-01 16:41:59,192.168.1.24,10.0.0.15,FILE_ACCESS,employee04,HTTPS,1630,SUCCESS,Office-Laptop-04,INFO,Normal file access
N145,2026-09-01 09:48:12,192.168.1.25,10.0.0.10,LOGIN,employee05,HTTPS,1145,SUCCESS,Office-Laptop-05,INFO,Normal login
N146,2026-09-01 10:55:25,192.168.1.26,10.0.0.20,NETWORK_REQUEST,employee06,TCP,1900,SUCCESS,Office-Laptop-06,INFO,Normal network request
N147,2026-09-01 11:02:38,192.168.1.27,10.0.0.15,FILE_ACCESS,employee07,HTTPS,1735,SUCCESS,Office-Laptop-07,INFO,Normal file access
N148,2026-09-01 12:09:51,192.168.1.28,10.0.0.10,LOGIN,employee08,HTTPS,1250,SUCCESS,Office-Laptop-08,INFO,Normal login
N149,2026-09-01 13:16:04,192.168.1.29,10.0.0.20,NETWORK_REQUEST,employee09,TCP,2005,SUCCESS,Office-Laptop-09,INFO,Normal network request
N150,2026-09-01 14:23:17,192.168.1.30,10.0.0.15,FILE_ACCESS,employee10,HTTPS,1840,SUCCESS,Office-Laptop-10,INFO,Normal file access
N151,2026-09-01 15:30:30,192.168.1.21,10.0.0.10,LOGIN,employee01,HTTPS,480,SUCCESS,Office-Laptop-01,INFO,Normal login
N152,2026-09-01 16:37:43,192.168.1.22,10.0.0.20,NETWORK_REQUEST,employee02,TCP,1235,SUCCESS,Office-Laptop-02,INFO,Normal network request
N153,2026-09-01 09:44:56,192.168.1.23,10.0.0.15,FILE_ACCESS,employee03,HTTPS,1070,SUCCESS,Office-Laptop-03,INFO,Normal file access
N154,2026-09-01 10:51:09,192.168.1.24,10.0.0.10,LOGIN,employee04,HTTPS,585,SUCCESS,Office-Laptop-04,INFO,Normal login
N155,2026-09-01 11:58:22,192.168.1.25,10.0.0.20,NETWORK_REQUEST,employee05,TCP,1340,SUCCESS,Office-Laptop-05,INFO,Normal network request
N156,2026-09-01 12:05:35,192.168.1.26,10.0.0.15,FILE_ACCESS,employee06,HTTPS,1175,SUCCESS,Office-Laptop-06,INFO,Normal file access
N157,2026-09-01 13:12:48,192.168.1.27,10.0.0.10,LOGIN,employee07,HTTPS,690,SUCCESS,Office-Laptop-07,INFO,Normal login
N158,2026-09-01 14:19:01,192.168.1.28,10.0.0.20,NETWORK_REQUEST,employee08,TCP,1445,SUCCESS,Office-Laptop-08,INFO,Normal network request
N159,2026-09-01 15:26:14,192.168.1.29,10.0.0.15,FILE_ACCESS,employee09,HTTPS,1280,SUCCESS,Office-Laptop-09,INFO,Normal file access
N160,2026-09-01 16:33:27,192.168.1.30,10.0.0.10,LOGIN,employee10,HTTPS,795,SUCCESS,Office-Laptop-10,INFO,Normal login
N161,2026-09-01 09:40:40,192.168.1.21,10.0.0.20,NETWORK_REQUEST,employee01,TCP,1550,SUCCESS,Office-Laptop-01,INFO,Normal network request
N162,2026-09-01 10:47:53,192.168.1.22,10.0.0.15,FILE_ACCESS,employee02,HTTPS,1385,SUCCESS,Office-Laptop-02,INFO,Normal file access
N163,2026-09-01 11:54:06,192.168.1.23,10.0.0.10,LOGIN,employee03,HTTPS,900,SUCCESS,Office-Laptop-03,INFO,Normal login
N164,2026-09-01 12:01:19,192.168.1.24,10.0.0.20,NETWORK_REQUEST,employee04,TCP,1655,SUCCESS,Office-Laptop-04,INFO,Normal network request
N165,2026-09-01 13:08:32,192.168.1.25,10.0.0.15,FILE_ACCESS,employee05,HTTPS,1490,SUCCESS,Office-Laptop-05,INFO,Normal file access
N166,2026-09-01 14:15:45,192.168.1.26,10.0.0.10,LOGIN,employee06,HTTPS,1005,SUCCESS,Office-Laptop-06,INFO,Normal login
N167,2026-09-01 15:22:58,192.168.1.27,10.0.0.20,NETWORK_REQUEST,employee07,TCP,1760,SUCCESS,Office-Laptop-07,INFO,Normal network request
N168,2026-09-01 16:29:11,192.168.1.28,10.0.0.15,FILE_ACCESS,employee08,HTTPS,1595,SUCCESS,Office-Laptop-08,INFO,Normal file access
N169,2026-09-01 09:36:24,192.168.1.29,10.0.0.10,LOGIN,employee09,HTTPS,1110,SUCCESS,Office-Laptop-09,INFO,Normal login
N170,2026-09-01 10:43:37,192.168.1.30,10.0.0.20,NETWORK_REQUEST,employee10,TCP,1865,SUCCESS,Office-Laptop-10,INFO,Normal network request
N171,2026-09-01 11:50:50,192.168.1.21,10.0.0.15,FILE_ACCESS,employee01,HTTPS,1700,SUCCESS,Office-Laptop-01,INFO,Normal file access
N172,2026-09-01 12:57:03,192.168.1.22,10.0.0.10,LOGIN,employee02,HTTPS,1215,SUCCESS,Office-Laptop-02,INFO,Normal login
N173,2026-09-01 13:04:16,192.168.1.23,10.0.0.20,NETWORK_REQUEST,employee03,TCP,1970,SUCCESS,Office-Laptop-03,INFO,Normal network request
